# Typed slots for quarantined pilot topics (ADR-0039 slot-audit protocol).
#
# This is the manual review gate the importer deliberately refuses to
# automate: a topic leaves missing_typed_slots only when an editor has
# assigned its predicate slots. The column scheme mirrors the audited
# profile (qxfx0-plan-v2 era: qxfx0-semantic/assets/argued_topics.tsv):
#
#   topic           normalized pilot topic, must be a review-passed candidate
#   predicate_id    stable semantic id of the chosen source predicate
#   subject_id      seed graph atom id of the topic (verified to exist)
#   relation_id     semantic id of the head relation
#   object_id       semantic id of the governed object
#   thesis_surface  VERBATIM russian surface from the source row (the
#                   importer re-checks it against the corpus row and
#                   rejects a paraphrase as audited_surface_not_in_source_row)
#
# Measurement only: `import_haskell_corpus.py --typed-slots <this file>`
# merges these rows into the audited index for quarantine re-measurement.
# Nothing here promotes a topic; activation remains a separately reviewed
# catalog lifecycle decision.
#
# The first four rows are hand-reviewed. The rest are drafted by
# scripts/generate_typed_slots.py under deterministic rules (verbatim prop
# surface, transliterated verb/object slugs) and committed for review —
# reruns append nothing new.
topic	predicate_id	subject_id	relation_id	object_id	thesis_surface
алгоритм	algoritm_opredelyaet	algoritm	opredelyaet	posledovatelnost_deystviy	алгоритм определяет последовательность действий
асимметрия отношений	asimmetriya_otnosheniy_otnosheniy	asimmetriya_otnosheniy	otnosheniy	otrazhaet_raznitsu_v_statuse	асимметрия отношений отражает разницу в статусе
аспект от первого лица	aspekt_ot_pervogo_litsa_ot	aspekt_ot_pervogo_litsa	ot	pervogo_litsa_nedelim_s_drugimi	аспект от первого лица неделим с другими
беспристрастность	bespristrastnost_trebuet	bespristrastnost	trebuet	distantsii_ot_predmeta	беспристрастность требует дистанции от предмета
благодарность	blagodarnost_vyrazhaet	blagodarnost	vyrazhaet	priznanie_poluchennogo_dobra	благодарность выражает признание полученного добра
будущее как возможность	buduschee_kak_vozmozhnost_kak	buduschee_kak_vozmozhnost	kak	vozmozhnost_otkryvaet_gorizont_deystviy	будущее как возможность открывает горизонт действий
верность	vernost_predpolagaet	vernost	predpolagaet	postoyanstvo_v_otnosheniyakh	верность предполагает постоянство в отношениях
вечность в мгновении	vechnost_v_mgnovenii_v	vechnost_v_mgnovenii	v	mgnovenii_soedinyaet_proshloe_i_buduschee	вечность в мгновении соединяет прошлое и будущее
вина и заслуга	vina_i_zasluga_i	vina_i_zasluga	i	zasluga_ustanavlivayut_moralnyy_balans	вина и заслуга устанавливают моральный баланс
внутренний закон	vnutrenniy_zakon_zakon	vnutrenniy_zakon	zakon	napravlyaet_deystviya_bez_vneshnego_prinuzhdeniya	внутренний закон направляет действия без внешнего принуждения
возвращение к работоспособности	vozvraschenie_k_rabotosposobnosti_k	vozvraschenie_k_rabotosposobnosti	k	rabotosposobnosti_vosstanavlivaet_funktsiyu	возвращение к работоспособности восстанавливает функцию
воздаяние по заслугам	vozdayanie_po_zaslugam_po	vozdayanie_po_zaslugam	po	zaslugam_ustanavlivaet_sorazmernost_mezhdu_deyaniem_i_vozdayaniem	воздаяние по заслугам устанавливает соразмерность между деянием и воздаянием
восприятие и рефлексию	vospriyatie_i_refleksiyu_i	vospriyatie_i_refleksiyu	i	refleksiya_sostavlyaet_osnovu_soznaniya	восприятие и рефлексия составляет основу сознания
восстановление функции	vosstanovlenie_funktsii_funktsii	vosstanovlenie_funktsii	funktsii	vozvraschaet_rabotosposobnost	восстановление функции возвращает работоспособность
встреча с собой	vstrecha_s_soboy_s	vstrecha_s_soboy	s	soboy_otkryvaet_glubinu_samopoznaniya	встреча с собой открывает глубину самопознания
выбор цели	vybor_tseli_tseli	vybor_tseli	tseli	orientiruet_deystvie	выбор цели ориентирует действие
выражение позиции	vyrazhenie_pozitsii_pozitsii	vyrazhenie_pozitsii	pozitsii	trebuet_yasnosti_myshleniya	выражение позиции требует ясности мышления
гармония формы	garmoniya_formy_formy	garmoniya_formy	formy	soedinyaet_chasti_v_tseloe	гармония формы соединяет части в целое
глубина невыразимого	glubina_nevyrazimogo_nevyrazimogo	glubina_nevyrazimogo	nevyrazimogo	ukazyvaet_na_predel_yazyka	глубина невыразимого указывает на предел языка
глубина тишины	glubina_tishiny_tishiny	glubina_tishiny	tishiny	otkryvaet_prostranstvo_dlya_refleksii	глубина тишины открывает пространство для рефлексии
государство	gosudarstvo_ustanavlivaet	gosudarstvo	ustanavlivaet	poryadok_obschestvennoy_zhizni	государство устанавливает порядок общественной жизни
готовность к ответу	gotovnost_k_otvetu_k	gotovnost_k_otvetu	k	otvetu_predpolagaet_osoznanie_voprosa	готовность к ответу предполагает осознание вопроса
готовность к риску	gotovnost_k_risku_k	gotovnost_k_risku	k	risku_otkryvaet_novye_vozmozhnosti	готовность к риску открывает новые возможности
граница	granitsa_razlichaet	granitsa	razlichaet	vnutrennee_i_vneshnee	граница различает внутреннее и внешнее
граница выразимого	granitsa_vyrazimogo_vyrazimogo	granitsa_vyrazimogo	vyrazimogo	otdelyaet_skazuemoe_ot_neskazuemogo	граница выразимого отделяет сказуемое от несказуемого
граница смысла	granitsa_smysla_smysla	granitsa_smysla	smysla	otdelyaet_osmyslennoe_ot_bessmyslennogo	граница смысла отделяет осмысленное от бессмысленного
границу между я и другими	granitsu_mezhdu_ya_i_drugimi_mezhdu	granitsu_mezhdu_ya_i_drugimi	mezhdu	ya_i_drugimi_ustanavlivaet_identichnost	границу между я и другими устанавливает идентичность
границу через которую жизнь обретает конечную форму	granitsu_cherez_kotoruyu_zhizn_obretaet_konechnuyu_formu_cherez	granitsu_cherez_kotoruyu_zhizn_obretaet_konechnuyu_formu	cherez	kotoruyu_zhizn_obretaet_konechnuyu_formu_zadayot_smert	границу, через которую жизнь обретает конечную форму, задаёт смерть
данные	dannye_sluzhat	dannye	sluzhat	osnovoy_dlya_suzhdeniya	данные служат основой для суждения
дар без расчёта	dar_bez_raschyota_bez	dar_bez_raschyota	bez	raschyota_vyrazhaet_podlinnuyu_schedrost	дар без расчёта выражает подлинную щедрость
действие в условиях неопределённости	deystvie_v_usloviyakh_neopredelyonnosti_v	deystvie_v_usloviyakh_neopredelyonnosti	v	usloviyakh_neopredelyonnosti_trebuet_smelosti	действие в условиях неопределённости требует смелости
действие к выбранной цели	deystvie_k_vybrannoy_tseli_k	deystvie_k_vybrannoy_tseli	k	vybrannoy_tseli_napravleno_volya	действие к выбранной цели направлено воля
действие независимо от желания	deystvie_nezavisimo_ot_zhelaniya_nezavisimo	deystvie_nezavisimo_ot_zhelaniya	nezavisimo	ot_zhelaniya_vyrazhaet_dolg	действие независимо от желания выражает долг
делегирование и контроль	delegirovanie_i_kontrol_i	delegirovanie_i_kontrol	i	kontrol_balansiruyut_svobodu_i_otvetstvennost	делегирование и контроль балансируют свободу и ответственность
диагностика поломки	diagnostika_polomki_polomki	diagnostika_polomki	polomki	vyyavlyaet_prichinu	диагностика поломки выявляет причину
дискретность и точность	diskretnost_i_tochnost_i	diskretnost_i_tochnost	i	tochnost_kharakterizuyut_tsifru	дискретность и точность характеризуют цифру
длительность	dlitelnost_vyrazhaet	dlitelnost	vyrazhaet	vremennoe_izmerenie_suschestvovaniya	длительность выражает временное измерение существования
для восстановления и интеграции опыта	dlya_vosstanovleniya_i_integratsii_opyta_vosstanovleniya	dlya_vosstanovleniya_i_integratsii_opyta	vosstanovleniya	i_integratsii_opyta_neobkhodim_pokoy	для восстановления и интеграции опыта необходим покой
доверие между субъектами	doverie_mezhdu_subektami_mezhdu	doverie_mezhdu_subektami	mezhdu	subektami_osnovano_na_vzaimnosti	доверие между субъектами основано на взаимности
доверием к источнику или опыту	doveriem_k_istochniku_ili_opytu_k	doveriem_k_istochniku_ili_opytu	k	istochniku_ili_opytu_osnovana_vera	доверием к источнику или опыту основана вера
доверием к тому что не может быть проверено	doveriem_k_tomu_chto_ne_mozhet_byt_provereno_k	doveriem_k_tomu_chto_ne_mozhet_byt_provereno	k	tomu_chto_ne_mozhet_byt_provereno_osnovana_vera	доверием к тому, что не может быть проверено, основана вера
договор	dogovor_ustanavlivaet	dogovor	ustanavlivaet	vzaimnye_obyazatelstva	договор устанавливает взаимные обязательства
долг памяти	dolg_pamyati_pamyati	dolg_pamyati	pamyati	sokhranyaet_proshloe_v_nastoyaschem	долг памяти сохраняет прошлое в настоящем
долженствование	dolzhenstvovanie_vyrazhaet	dolzhenstvovanie	vyrazhaet	moralnoe_trebovanie	долженствование выражает моральное требование
достоверность и искажение	dostovernost_i_iskazhenie_i	dostovernost_i_iskazhenie	i	iskazhenie_sosuschestvuyut_v_povestvovanii	достоверность и искажение сосуществуют в повествовании
дух	dukh_vyrazhaet	dukh	vyrazhaet	nematerialnuyu_suschnost	дух выражает нематериальную сущность
душа	dusha_glubina	dusha	glubina	lichnogo_opyta	душа есть глубина личного опыта
единство поля опыта	edinstvo_polya_opyta_polya	edinstvo_polya_opyta	polya	opyta_soedinyaet_razroznennye_perezhivaniya	единство поля опыта соединяет разрозненные переживания
жизни неотменимость	zhizni_neotmenimost_neotmenimost	zhizni_neotmenimost	neotmenimost	vyrazhaet_eyo_tsennost	жизни неотменимость выражает её ценность
жизнь	zhizn_protsess	zhizn	protsess	postoyannogo_stanovleniya	жизнь есть процесс постоянного становления
забывание как условие	zabyvanie_kak_uslovie_kak	zabyvanie_kak_uslovie	kak	uslovie_otkryvaet_prostranstvo_dlya_novogo	забывание как условие открывает пространство для нового
защита и ограничение	zaschita_i_ogranichenie_i	zaschita_i_ogranichenie	i	ogranichenie_balansiruyut_svobodu_i_bezopasnost	защита и ограничение балансируют свободу и безопасность
защитная реакция	zaschitnaya_reaktsiya_reaktsiya	zaschitnaya_reaktsiya	reaktsiya	predokhranyaet_ot_ugrozy	защитная реакция предохраняет от угрозы
игнорирование последствий	ignorirovanie_posledstviy_posledstviy	ignorirovanie_posledstviy	posledstviy	vedyot_k_proizvolu	игнорирование последствий ведёт к произволу
идентификация с собой	identifikatsiya_s_soboy_s	identifikatsiya_s_soboy	s	soboy_obrazuet_identichnost	идентификация с собой образует идентичность
идентичность	identichnost_predpolagaet	identichnost	predpolagaet	preemstvennost_vo_vremeni	идентичность предполагает преемственность во времени
идентичность через время	identichnost_cherez_vremya_cherez	identichnost_cherez_vremya	cherez	vremya_sokhranyaet_nepreryvnost	идентичность через время сохраняет непрерывность
из событий и их интерпретации	iz_sobytiy_i_ikh_interpretatsii_sobytiy	iz_sobytiy_i_ikh_interpretatsii	sobytiy	i_ikh_interpretatsii_skladyvaetsya_istoriya	из событий и их интерпретации складывается история
избирательность и реконструкция	izbiratelnost_i_rekonstruktsiya_i	izbiratelnost_i_rekonstruktsiya	i	rekonstruktsiya_sostavlyayut_suschnost_pamyati	избирательность и реконструкция составляют сущность памяти
избрано или навязано обстоятельствами	izbrano_ili_navyazano_obstoyatelstvami_ili	izbrano_ili_navyazano_obstoyatelstvami	ili	navyazano_obstoyatelstvami_opredelyaet_svobodu	избрано или навязано обстоятельствами определяет свободу
изоляция или уединение	izolyatsiya_ili_uedinenie_ili	izolyatsiya_ili_uedinenie	ili	uedinenie_razlichayutsya_po_vyboru	изоляция или уединение различаются по выбору
инстинкт	instinkt_napravlyaet	instinkt	napravlyaet	deystviya_bez_osoznaniya	инстинкт направляет действия без осознания
интенциональность	intentsionalnost_vyrazhaet	intentsionalnost	vyrazhaet	napravlennost_soznaniya	интенциональность выражает направленность сознания
интерпретация прошлого	interpretatsiya_proshlogo_proshlogo	interpretatsiya_proshlogo	proshlogo	formiruet_identichnost	интерпретация прошлого формирует идентичность
искренность рассказа	iskrennost_rasskaza_rasskaza	iskrennost_rasskaza	rasskaza	vyrazhaet_doverie_k_slushatelyu	искренность рассказа выражает доверие к слушателю
искусство	iskusstvo_vyrazhaet	iskusstvo	vyrazhaet	krasotu	искусство выражает красоту
исполнение обещания	ispolnenie_obeschaniya_obeschaniya	ispolnenie_obeschaniya	obeschaniya	ukreplyaet_doverie	исполнение обещания укрепляет доверие
к обобщению и абстракции	k_obobscheniyu_i_abstraktsii_obobscheniyu	k_obobscheniyu_i_abstraktsii	obobscheniyu	i_abstraktsii_stremitsya_razum	к обобщению и абстракции стремится разум
к полезности	k_poleznosti_poleznosti	k_poleznosti	poleznosti	oriented_action	к полезности oriented action
как условие возможности любого суждения	kak_uslovie_vozmozhnosti_lyubogo_suzhdeniya_uslovie	kak_uslovie_vozmozhnosti_lyubogo_suzhdeniya	uslovie	vozmozhnosti_lyubogo_suzhdeniya_vystupaet_bytie	как условие возможности любого суждения выступает бытие
каприз и случайность	kapriz_i_sluchaynost_i	kapriz_i_sluchaynost	i	sluchaynost_protivopostavleny_zakonomernosti	каприз и случайность противопоставлены закономерности
качественность опыта	kachestvennost_opyta_opyta	kachestvennost_opyta	opyta	otlichaet_ego_ot_kolichestva	качественность опыта отличает его от количества
когерентность	kogerentnost_vyrazhaet	kogerentnost	vyrazhaet	soglasovannost_chastey	когерентность выражает согласованность частей
код	kod_peredayot	kod	peredayot	informatsiyu_v_kompaktnoy_forme	код передаёт информацию в компактной форме
конвенция и произвол	konventsiya_i_proizvol_i	konventsiya_i_proizvol	i	proizvol_ogranichivayut_drug_druga	конвенция и произвол ограничивают друг друга
контактная поверхность	kontaktnaya_poverkhnost_poverkhnost	kontaktnaya_poverkhnost	poverkhnost	obespechivaet_vzaimodeystvie	контактная поверхность обеспечивает взаимодействие
критика и сомнение	kritika_i_somnenie_i	kritika_i_somnenie	i	somnenie_sposobstvuyut_proverke_istin	критика и сомнение способствуют проверке истин
легитимности для устойчивости	legitimnosti_dlya_ustoychivosti_dlya	legitimnosti_dlya_ustoychivosti	dlya	ustoychivosti_trebuet_vlast	легитимности для устойчивости требует власть
логика	logika_ustanavlivaet	logika	ustanavlivaet	pravila_myshleniya	логика устанавливает правила мышления
логическое умозаключение	logicheskoe_umozaklyuchenie_umozaklyuchenie	logicheskoe_umozaklyuchenie	umozaklyuchenie	vyvodit_novoe_znanie	логическое умозаключение выводит новое знание
маскировка качества количеством	maskirovka_kachestva_kolichestvom_kachestva	maskirovka_kachestva_kolichestvom	kachestva	kolichestvom_iskazhaet_ponimanie	маскировка качества количеством искажает понимание
материал через целенаправленное усилие	material_cherez_tselenapravlennoe_usilie_cherez	material_cherez_tselenapravlennoe_usilie	cherez	tselenapravlennoe_usilie_preobrazuet_trud	материал через целенаправленное усилие преобразует труд
мгновение и вечность	mgnovenie_i_vechnost_i	mgnovenie_i_vechnost	i	vechnost_soedinyayutsya_v_perezhivanii	мгновение и вечность соединяются в переживании
мера и соразмерность	mera_i_sorazmernost_i	mera_i_sorazmernost	i	sorazmernost_ustanavlivayut_spravedlivost	мера и соразмерность устанавливают справедливость
метафора и буква	metafora_i_bukva_i	metafora_i_bukva	i	bukva_razlichayutsya_po_sposobu_vyrazheniya	метафора и буква различаются по способу выражения
мир и самого трудящегося	mir_i_samogo_trudyaschegosya_i	mir_i_samogo_trudyaschegosya	i	samogo_trudyaschegosya_preobrazuet_trud	мир и самого трудящегося преобразует труд
музыка	muzyka_vyrazhaet	muzyka	vyrazhaet	emotsii_cherez_zvuk	музыка выражает эмоции через звук
мышление	myshlenie_operiruet	myshlenie	operiruet	ponyatiyami	мышление оперирует понятиями
мышлением он не только выражает но и формирует мысль	myshleniem_on_ne_tolko_vyrazhaet_no_i_formiruet_mysl_utverzhdaet	myshleniem_on_ne_tolko_vyrazhaet_no_i_formiruet_mysl	utverzhdaet	on_ne_tolko_vyrazhaet_no_i_formiruet_mysl	мышлением — он не только выражает, но и формирует мысль
на возможность будущего	na_vozmozhnost_buduschego_vozmozhnost	na_vozmozhnost_buduschego	vozmozhnost	buduschego_orientirovano_deystvie	на возможность будущего ориентировано действие
на моральные или социальные обязательства	na_moralnye_ili_sotsialnye_obyazatelstva_moralnye	na_moralnye_ili_sotsialnye_obyazatelstva	moralnye	ili_sotsialnye_obyazatelstva_opiraetsya_dolg	на моральные или социальные обязательства опирается долг
на соответствие тому что произошло	na_sootvetstvie_tomu_chto_proizoshlo_sootvetstvie	na_sootvetstvie_tomu_chto_proizoshlo	sootvetstvie	tomu_chto_proizoshlo_pretenduet_pravda	на соответствие тому, что произошло, претендует правда
на то что имеет значение	na_to_chto_imeet_znachenie_to	na_to_chto_imeet_znachenie	to	chto_imeet_znachenie_orientirovano_vnimanie	на то, что имеет значение, ориентировано внимание
наблюдение за состояниями	nablyudenie_za_sostoyaniyami_za	nablyudenie_za_sostoyaniyami	za	sostoyaniyami_vyyavlyaet_patterny	наблюдение за состояниями выявляет паттерны
навык и мастерство	navyk_i_masterstvo_i	navyk_i_masterstvo	i	masterstvo_razvivayutsya_cherez_praktiku	навык и мастерство развиваются через практику
наличие сознания как своего основания	nalichie_soznaniya_kak_svoego_osnovaniya_soznaniya	nalichie_soznaniya_kak_svoego_osnovaniya	soznaniya	kak_svoego_osnovaniya_vyrazhaet_subektnost	наличие сознания как своего основания выражает субъектность
наперекор очевидности	naperekor_ochevidnosti_ochevidnosti	naperekor_ochevidnosti	ochevidnosti	lezhit_istinnoe_otkrytie	наперекор очевидности лежит истинное открытие
направление вектора жизни	napravlenie_vektora_zhizni_vektora	napravlenie_vektora_zhizni	vektora	zhizni_opredelyaet_smysl_suschestvovaniya	направление вектора жизни определяет смысл существования
направленность усилия	napravlennost_usiliya_usiliya	napravlennost_usiliya	usiliya	sozdayot_tselenapravlennost_deystviya	направленность усилия создаёт целенаправленность действия
нарратив и факт	narrativ_i_fakt_i	narrativ_i_fakt	i	fakt_vzaimodeystvuyut_v_formirovanii_ponimaniya	нарратив и факт взаимодействуют в формировании понимания
нарратив о себе	narrativ_o_sebe_o	narrativ_o_sebe	o	sebe_strukturiruet_opyt	нарратив о себе структурирует опыт
насилие или забота	nasilie_ili_zabota_ili	nasilie_ili_zabota	ili	zabota_vyrazhayut_protivopolozhnye_sposoby_vozdeystviya	насилие или забота выражают противоположные способы воздействия
настоящее как точка	nastoyaschee_kak_tochka_kak	nastoyaschee_kak_tochka	kak	tochka_soedinyaet_proshloe_i_buduschee	настоящее как точка соединяет прошлое и будущее
нация	natsiya_formiruet	natsiya	formiruet	kollektivnuyu_identichnost	нация формирует коллективную идентичность
независимость от наблюдателя	nezavisimost_ot_nablyudatelya_ot	nezavisimost_ot_nablyudatelya	ot	nablyudatelya_kharakterizuet_obektivnost	независимость от наблюдателя характеризует объективность
нейрон	neyron_yavlyaetsya	neyron	yavlyaetsya	osnovnoy_edinitsey_nervnoy_sistemy	нейрон является основной единицей нервной системы
необратимо и неравномерно	neobratimo_i_neravnomerno_i	neobratimo_i_neravnomerno	i	neravnomerno_prokhodit_vremya	необратимо и неравномерно проходит время
необратимо прошлое недоступно для изменения	neobratimo_proshloe_nedostupno_dlya_izmeneniya_utverzhdaet	neobratimo_proshloe_nedostupno_dlya_izmeneniya	utverzhdaet	proshloe_nedostupno_dlya_izmeneniya_ustanavlivaet_granitsu_bytiya	необратимо — прошлое недоступно для изменения, устанавливает границу бытия
необратимое прекращение существования	neobratimoe_prekraschenie_suschestvovaniya_prekraschenie	neobratimoe_prekraschenie_suschestvovaniya	prekraschenie	suschestvovaniya_opredelyaet_smert	необратимое прекращение существования определяет смерть
необходимость и случайность	neobkhodimost_i_sluchaynost_i	neobkhodimost_i_sluchaynost	i	sluchaynost_formiruyut_dialektiku_bytiya	необходимость и случайность формируют диалектику бытия
об угрозе целостности	ob_ugroze_tselostnosti_ugroze	ob_ugroze_tselostnosti	ugroze	tselostnosti_preduprezhdaet_zaschitnaya_reaktsiya	об угрозе целостности предупреждает защитная реакция
об угрозе целостности субъекта	ob_ugroze_tselostnosti_subekta_ugroze	ob_ugroze_tselostnosti_subekta	ugroze	tselostnosti_subekta_govorit_trevoga	об угрозе целостности субъекта говорит тревога
обещание себе	obeschanie_sebe_sebe	obeschanie_sebe	sebe	vyrazhaet_samoobyazatelstvo	обещание себе выражает самообязательство
обоснованность и вес	obosnovannost_i_ves_i	obosnovannost_i_ves	i	ves_opredelyayut_ubeditelnost_argumenta	обоснованность и вес определяют убедительность аргумента
обоснованность не доказательством	obosnovannost_ne_dokazatelstvom_ne	obosnovannost_ne_dokazatelstvom	ne	dokazatelstvom_a_ubeditelnoy_strukturoy	обоснованность не доказательством, а убедительной структурой
объективность	obektivnost_trebuet	obektivnost	trebuet	nezavisimosti_ot_perspektivy	объективность требует независимости от перспективы
обязательства перед другими	obyazatelstva_pered_drugimi_pered	obyazatelstva_pered_drugimi	pered	drugimi_ogranichivayut_svobodu	обязательства перед другими ограничивают свободу
ожидание угрозы	ozhidanie_ugrozy_ugrozy	ozhidanie_ugrozy	ugrozy	paralizuet_ili_mobilizes_deystvie	ожидание угрозы парализует или mobilizes действие
опора на другого	opora_na_drugogo_na	opora_na_drugogo	na	drugogo_vyrazhaet_doverie	опора на другого выражает доверие
опыт через различение и именование	opyt_cherez_razlichenie_i_imenovanie_cherez	opyt_cherez_razlichenie_i_imenovanie	cherez	razlichenie_i_imenovanie_strukturiruet_vospriyatie	опыт через различение и именование структурирует восприятие
ориентация на будущее	orientatsiya_na_buduschee_na	orientatsiya_na_buduschee	na	buduschee_otkryvaet_gorizont_vozmozhnostey	ориентация на будущее открывает горизонт возможностей
осмысление конечности	osmyslenie_konechnosti_konechnosti	osmyslenie_konechnosti	konechnosti	otkryvaet_glubinu_bytiya	осмысление конечности открывает глубину бытия
основание всего	osnovanie_vsego_vsego	osnovanie_vsego	vsego	est_bytie	основание всего есть бытие
осознание последствий	osoznanie_posledstviy_posledstviy	osoznanie_posledstviy	posledstviy	otlichaet_otvetstvennost_ot_proizvola	осознание последствий отличает ответственность от произвола
осознанность выбора	osoznannost_vybora_vybora	osoznannost_vybora	vybora	predpolagaet_svobodu	осознанность выбора предполагает свободу
остановка и осмысление	ostanovka_i_osmyslenie_i	ostanovka_i_osmyslenie	i	osmyslenie_preryvayut_avtomatizm_deystviya	остановка и осмысление прерывают автоматизм действия
от воспринимающего и культурной рамки	ot_vosprinimayuschego_i_kulturnoy_ramki_vosprinimayuschego	ot_vosprinimayuschego_i_kulturnoy_ramki	vosprinimayuschego	i_kulturnoy_ramki_zavisit_interpretatsiya	от воспринимающего и культурной рамки зависит интерпретация
от интуиции потребностью в доказательстве	ot_intuitsii_potrebnostyu_v_dokazatelstve_intuitsii	ot_intuitsii_potrebnostyu_v_dokazatelstve	intuitsii	potrebnostyu_v_dokazatelstve_vedyot_put_poznaniya	от интуиции потребностью в доказательстве ведёт путь познания
от точки зрения рассказчика	ot_tochki_zreniya_rasskazchika_tochki	ot_tochki_zreniya_rasskazchika	tochki	zreniya_rasskazchika_zavisit_povestvovanie	от точки зрения рассказчика зависит повествование
ответ на вопрос кто я	otvet_na_vopros_kto_ya_na	otvet_na_vopros_kto_ya	na	vopros_kto_ya_formiruet_identichnost	ответ на вопрос кто я формирует идентичность
ответ перед другими	otvet_pered_drugimi_pered	otvet_pered_drugimi	pered	drugimi_vyrazhaet_otvetstvennost	ответ перед другими выражает ответственность
ответственность власти	otvetstvennost_vlasti_vlasti	otvetstvennost_vlasti	vlasti	balansiruet_silu_i_spravedlivost	ответственность власти балансирует силу и справедливость
открытость пересмотру	otkrytost_peresmotru_peresmotru	otkrytost_peresmotru	peresmotru	vyrazhaet_gibkost_myshleniya	открытость пересмотру выражает гибкость мышления
открытость проверке	otkrytost_proverke_proverke	otkrytost_proverke	proverke	obespechivaet_dostovernost	открытость проверке обеспечивает достоверность
отсутствие движения и напряжения	otsutstvie_dvizheniya_i_napryazheniya_dvizheniya	otsutstvie_dvizheniya_i_napryazheniya	dvizheniya	i_napryazheniya_vyrazhaet_pokoy	отсутствие движения и напряжения выражает покой
отсутствие значимого другого	otsutstvie_znachimogo_drugogo_znachimogo	otsutstvie_znachimogo_drugogo	znachimogo	drugogo_privodit_k_odinochestvu	отсутствие значимого другого приводит к одиночеству
отсутствие контакта	otsutstvie_kontakta_kontakta	otsutstvie_kontakta	kontakta	izoliruet_subekta	отсутствие контакта изолирует субъекта
отсутствие основания	otsutstvie_osnovaniya_osnovaniya	otsutstvie_osnovaniya	osnovaniya	vedyot_k_somneniyu	отсутствие основания ведёт к сомнению
отсутствие принуждения	otsutstvie_prinuzhdeniya_prinuzhdeniya	otsutstvie_prinuzhdeniya	prinuzhdeniya	otlichaet_svobodu_ot_proizvola	отсутствие принуждения отличает свободу от произвола
отсутствием движения	otsutstviem_dvizheniya_dvizheniya	otsutstviem_dvizheniya	dvizheniya	kharakterizuetsya_pokoy	отсутствием движения характеризуется покой
отсутствием слов	otsutstviem_slov_slov	otsutstviem_slov	slov	vyrazhaetsya_molchanie	отсутствием слов выражается молчание
память коллектива	pamyat_kollektiva_kollektiva	pamyat_kollektiva	kollektiva	peredayot_opyt_pokoleniy	память коллектива передаёт опыт поколений
паралич или действие	paralich_ili_deystvie_ili	paralich_ili_deystvie	ili	deystvie_vyrazhaet_vybor_pered_litsom_ugrozy	паралич или действие выражает выбор перед лицом угрозы
пауза в действии	pauza_v_deystvii_v	pauza_v_deystvii	v	deystvii_otkryvaet_prostranstvo_dlya_refleksii	пауза в действии открывает пространство для рефлексии
